11-05-2025 13:07:41 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@1728,1%@1574,2%@1574,0%@1574,0%@729,0%@729,0%@729,2%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.75C soc0@41.218C gpu@40.156C tj@43.812C soc1@40.75C VDD_GPU_SOC 2399mW/2399mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2712mW/2712mW
11-05-2025 13:07:42 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,1%@729,5%@729,3%@729,0%@729,0%@729,3%@729,10%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.718C soc2@40.625C soc0@41.218C gpu@40.156C tj@43.718C soc1@40.75C VDD_GPU_SOC 1999mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2612mW
11-05-2025 13:07:43 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.593C soc2@40.593C soc0@41.187C gpu@40.156C tj@43.843C soc1@40.593C VDD_GPU_SOC 1999mW/2132mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2545mW
11-05-2025 13:07:44 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.937C soc2@40.656C soc0@41.312C gpu@40.156C tj@43.937C soc1@40.625C VDD_GPU_SOC 1999mW/2099mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
11-05-2025 13:07:45 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,3%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.718C soc2@40.625C soc0@41.25C gpu@40.156C tj@43.718C soc1@40.781C VDD_GPU_SOC 1999mW/2079mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2491mW
11-05-2025 13:07:47 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,0%@1651,4%@1597,0%@1344,2%@729,6%@729,0%@729,5%@729,off,off,off,off] EMC_FREQ 0%@665 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.656C soc0@41.281C gpu@40.156C tj@43.812C soc1@40.562C VDD_GPU_SOC 1999mW/2066mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2712mW/2528mW
11-05-2025 13:07:48 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,6%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.75C soc2@40.625C soc0@41.218C gpu@40.156C tj@43.75C soc1@40.562C VDD_GPU_SOC 1999mW/2056mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2511mW
11-05-2025 13:07:49 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.875C soc2@40.656C soc0@41.25C gpu@40.156C tj@43.875C soc1@40.625C VDD_GPU_SOC 1999mW/2049mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2512mW
11-05-2025 13:07:50 RAM 15340/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,2%@729,1%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.531C soc2@40.593C soc0@41.375C gpu@40.156C tj@43.531C soc1@40.625C VDD_GPU_SOC 1999mW/2043mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2500mW
11-05-2025 13:07:51 RAM 15352/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@1728,16%@729,4%@729,3%@729,1%@729,2%@729,2%@729,1%@729,off,off,off,off] EMC_FREQ 4%@665 GR3D_FREQ 71%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.875C soc2@40.75C soc0@41.281C gpu@40.5C tj@43.875C soc1@40.531C VDD_GPU_SOC 3598mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 3315mW/2582mW
11-05-2025 13:07:52 RAM 15362/62841MB (lfb 741x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@1728,34%@729,9%@729,10%@729,8%@729,12%@729,25%@729,11%@729,off,off,off,off] EMC_FREQ 16%@665 GR3D_FREQ 89%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.281C soc2@40.656C soc0@41.25C gpu@40.312C tj@43.843C soc1@40.687C VDD_GPU_SOC 3998mW/2362mW VDD_CPU_CV 799mW/435mW VIN_SYS_5V0 3924mW/2704mW
