10-22-2025 15:55:52 RAM 14936/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,0%@729,7%@862,1%@1344,0%@729,0%@729,0%@729,5%@729,off,off,off,off] EMC_FREQ 11%@204 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.718C soc2@40.5C soc0@41.062C gpu@39.875C tj@43.718C soc1@40.562C VDD_GPU_SOC 2398mW/2398mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2913mW/2913mW
10-22-2025 15:55:53 RAM 14935/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,6%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.5C soc2@40.5C soc0@41.218C gpu@39.875C tj@43.5C soc1@40.531C VDD_GPU_SOC 1999mW/2199mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2713mW
10-22-2025 15:55:54 RAM 14936/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,2%@729,2%@729,1%@729,0%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.531C soc2@40.5C soc0@41C gpu@39.875C tj@43.531C soc1@40.343C VDD_GPU_SOC 1999mW/2132mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2612mW
10-22-2025 15:55:55 RAM 14936/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.562C soc2@40.437C soc0@41.062C gpu@39.875C tj@43.562C soc1@40.375C VDD_GPU_SOC 1999mW/2099mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2562mW
10-22-2025 15:55:56 RAM 14936/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.75C soc2@40.562C soc0@41.125C gpu@39.875C tj@43.75C soc1@40.437C VDD_GPU_SOC 1999mW/2079mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2532mW
10-22-2025 15:55:57 RAM 14936/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,3%@729,0%@729,0%@729,2%@1728,0%@729,2%@729,7%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.593C soc2@40.531C soc0@41C gpu@39.875C tj@43.593C soc1@40.5C VDD_GPU_SOC 1999mW/2066mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2612mW/2545mW
10-22-2025 15:55:58 RAM 14937/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,1%@729,1%@729,0%@729,0%@729,5%@729,1%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.625C soc2@40.5C soc0@41.062C gpu@39.875C tj@43.625C soc1@40.343C VDD_GPU_SOC 1999mW/2056mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2526mW
10-22-2025 15:55:59 RAM 14937/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.812C soc2@40.468C soc0@41.093C gpu@39.875C tj@43.812C soc1@40.406C VDD_GPU_SOC 1998mW/2049mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-22-2025 15:56:00 RAM 14937/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@43.343C soc2@40.406C soc0@41C gpu@39.875C tj@43.343C soc1@40.593C VDD_GPU_SOC 1998mW/2043mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2500mW
10-22-2025 15:56:01 RAM 14937/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1728,29%@1728,1%@1728,2%@1728,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 31%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.062C soc2@40.437C soc0@41.093C gpu@39.875C tj@44.062C soc1@40.5C VDD_GPU_SOC 3197mW/2159mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2913mW/2542mW
10-22-2025 15:56:02 RAM 14939/62841MB (lfb 873x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@1728,88%@1728,0%@1728,0%@1728,1%@1497,0%@1497,4%@1497,3%@1497,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@44.125C soc2@40.593C soc0@41.187C gpu@39.968C tj@44C soc1@40.437C VDD_GPU_SOC 3198mW/2253mW VDD_CPU_CV 1199mW/472mW VIN_SYS_5V0 3421mW/2622mW
