10-15-2025 16:49:16 RAM 14110/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@1728,0%@729,0%@729,0%@729,1%@1420,5%@1574,0%@1574,0%@1574,off,off,off,off] EMC_FREQ 3%@665 GR3D_FREQ 0%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46.125C soc2@43.093C soc0@43.625C gpu@42.468C tj@46.125C soc1@43.093C VDD_GPU_SOC 2398mW/2398mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2813mW/2813mW
10-15-2025 16:49:17 RAM 14107/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 5%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46.281C soc2@43.093C soc0@43.625C gpu@42.468C tj@46.281C soc1@43.031C VDD_GPU_SOC 1998mW/2198mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2512mW/2663mW
10-15-2025 16:49:18 RAM 14108/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 2%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46.031C soc2@43.062C soc0@43.687C gpu@42.468C tj@46.031C soc1@42.937C VDD_GPU_SOC 1998mW/2131mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2579mW
10-15-2025 16:49:19 RAM 14107/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 1%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46C soc2@43.031C soc0@43.656C gpu@42.468C tj@46C soc1@43.218C VDD_GPU_SOC 1998mW/2098mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2537mW
10-15-2025 16:49:20 RAM 14108/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.937C soc2@43C soc0@43.531C gpu@42.468C tj@45.937C soc1@43.156C VDD_GPU_SOC 1998mW/2078mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-15-2025 16:49:21 RAM 14109/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1420,8%@729,3%@729,0%@729,1%@729,1%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46C soc2@43C soc0@43.718C gpu@42.468C tj@46C soc1@43.062C VDD_GPU_SOC 1998mW/2065mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2712mW/2545mW
10-15-2025 16:49:22 RAM 14110/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,3%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.937C soc2@43C soc0@43.531C gpu@42.468C tj@45.937C soc1@43.031C VDD_GPU_SOC 1999mW/2055mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2526mW
10-15-2025 16:49:23 RAM 14110/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.968C soc2@43.031C soc0@43.562C gpu@42.468C tj@45.968C soc1@42.968C VDD_GPU_SOC 1998mW/2048mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2512mW
10-15-2025 16:49:24 RAM 14110/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@204 GR3D_FREQ 0%@[0,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46.125C soc2@43C soc0@43.531C gpu@42.468C tj@46.125C soc1@43C VDD_GPU_SOC 1998mW/2043mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2411mW/2500mW
10-15-2025 16:49:25 RAM 14110/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [3%@1651,0%@1651,1%@1651,29%@1651,0%@729,0%@729,0%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 32%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@45.937C soc2@43C soc0@43.656C gpu@42.781C tj@45.937C soc1@43C VDD_GPU_SOC 2797mW/2118mW VDD_CPU_CV 399mW/399mW VIN_SYS_5V0 2913mW/2542mW
10-15-2025 16:49:26 RAM 14110/62841MB (lfb 866x4MB) SWAP 0/31420MB (cached 0MB) CPU [73%@1728,10%@1728,1%@1728,10%@1728,0%@729,5%@729,1%@729,0%@729,off,off,off,off] EMC_FREQ 0%@2133 GR3D_FREQ 34%@[305,0] NVENC off NVDEC off NVJPG off NVJPG1 off VIC off OFA off NVDLA0 off NVDLA1 off PVA0_FREQ off APE 174 cpu@46.375C soc2@43.031C soc0@43.656C gpu@42.687C tj@46.562C soc1@42.875C VDD_GPU_SOC 2797mW/2180mW VDD_CPU_CV 1199mW/472mW VIN_SYS_5V0 3315mW/2612mW
